subject,3.7.2022.MASS,3.9.2022.MASS,3.14.2022.MASS,3.16.2022.MASS,3.21.2022.MASS,3.23.2022.MASS,3.25.2022.MASS
a1,142,152,160,162,172,180,180
a2,143,146,164,165,180,185,180
b1,138,143,155,163,174,178,177
b2,154,162,173,180,200,201,205
c1,142,145,161,162,177,179,201
c2,148,155,172,173,190,200,206
d1,153,162,187,185,205,212,210
d2,165,172,190,196,214,221,204
e1,137,140,148,150,157,163,169
e2,144,150,170,170,178,183,172
f1,155,162,185,192,205,221,214
f2,146,144,163,169,181,191,185
g1,174,187,222,234,260,274,264
g2,154,171,200,212,229,253,240
h1,177,192,224,240,288,293,271
h2,174,193,230,241,258,282,270
i1,179,197,231,241,277,288,275
i2,160,175,198,213,222,255,259
j1,164,179,214,227,250,273,279
j2,159,174,203,215,235,258,255
k1,162,176,202,223,253,261,259
k2,163,179,212,224,249,267,265
l1,171,184,212,223,249,264,240
l2,156,166,193,196,219,224,216
